CONSTITUENCY: ST. ANN NORTH EASTERN (24),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: EXCHANGE (5),,,,,,,,,
1 1A EXCHANGE ALL AGE SCHOOL,0,3,44,72,,1,120,46.88%,256
1 1B EXCHANGE ALL AGE SCHOOL,1,10,40,98,,0,149,58.66%,254
2 2A EXCHANGE ALL AGE SCHOOL,0,6,41,120,,0,167,57.99%,288
2 2B EXCHANGE ALL AGE SCHOOL,0,7,52,98,,2,159,50.32%,316
3 3 EXCHANGE ALL AGE SCHOOL,0,15,77,135,,2,229,56.13%,408
4 4 ELTHAM COMMUNITY CENTRE,2,9,51,67,,0,129,47.43%,272
5 5 ELTHAM COMMUNITY CENTRE,0,12,27,45,,0,84,49.70%,169
6 6 LESTER MARSH PAVILLION CONTENT GARDENS,2,9,89,133,,0,233,47.65%,489
7 7 LESTER MARSH PAVILLION,1,9,42,105,,1,158,52.84%,299
8 8 BURIAL SCHEME HALL OCHO RIOS,0,6,42,41,,2,91,47.40%,192
9 9 BURIAL SCHEME HALL,0,21,49,133,,3,206,59.71%,345
10 10A GREAT POND BASIC SCHOOL,0,6,47,82,,2,137,53.52%,256
10 10B GREAT POND BASIC SCHOOL,0,5,33,101,,2,141,55.29%,255
"32 32A SALVATION ARMY HALL, EXCHANGE",0,9,13,93,,0,115,60.53%,190
"32 32B SALMON MEMORIAL BASIC SCHOOL, EXCHANGE",0,16,10,38,,0,64,47.76%,134
33 33A MILE END COMMINITY CENTRE,0,3,9,5,,0,17,34.69%,49
"33 33B SALMON MEMORIAL BASIC SCHOOL, EXCHANGE",0,3,55,33,,0,91,65.00%,140
"33 33C SALMON MEMORIAL BASIC SCHOOL, EXCHANGE",0,3,43,39,,1,86,61.43%,140
34 34 MILE END COMMINITY CENTRE,1,8,87,121,,0,217,57.56%,377
88 88A EXCHANGE ALL AGE SCHOOL,1,3,30,100,,0,134,52.34%,256
88 88B EXCHANGE ALL AGE SCHOOL,0,0,29,88,,0,117,58.50%,200
89 89 EXCHANGE ALL AGE SCHOOL,1,4,25,67,,0,97,54.19%,179
ELECTORAL DIVISION TOTALS 22 PSs,9,167,935,"1,814",0,16,"2,941",53.83%,"5,464"
CONSTITUENCY: ST. ANN NORTH EASTERN (24),,,,,,,,,
POLLING STATION LOCATION,,,,,,,,,
ELECTORAL DIVISION: OCHO RIOS (6),,,,,,,,,
11 11 OCHO RIOS HIGH SCHOOL,0,5,42,35,,0,82,43.62%,188
12 12 OCHO RIOS PRIMARY SCHOOL,1,18,77,150,,0,246,52.12%,472
13 13 OCHO RIOS HIGH SCHOOL,0,2,32,38,,2,74,48.05%,154
14 14 OCHO RIOS HIGH SCHOOL,0,5,34,73,,2,114,50.89%,224
15 15 OCHO RIOS HIGH SCHOOL,0,3,17,57,,0,77,56.62%,136
16 16 OCHO RIOS HIGH SCHOOL,0,1,30,39,,0,70,50.00%,140
17 17A OCHO RIOS HIGH SCHOOL,0,9,74,49,,1,133,59.38%,224
17 17B OCHO RIOS HIGH SCHOOL,1,5,50,35,,2,93,56.71%,164
18 18 OCHO RIOS HIGH SCHOOL,0,6,32,64,,0,102,50.50%,202
19 19 OCHO RIOS HIGH SCHOOL,0,5,76,68,,1,150,45.18%,332
20 20 OCHO RIOS HIGH SCHOOL,0,0,18,33,,0,51,38.64%,132
21 21 OCHO RIOS HIGH SCHOOL,0,6,64,55,,0,125,51.23%,244
22 22 OCHO RIOS PRIMARY SCHOOL,0,8,41,89,,0,138,52.67%,262
23 23 OCHO RIOS PRIMARY SCHOOL,0,6,58,39,,0,103,57.87%,178
24 24 OCHO RIOS PRIMARY SCHOOL,1,8,130,107,,2,248,56.49%,439
25 25 OCHO RIOS PRIMARY SCHOOL,0,5,108,32,,1,146,60.58%,241
26 26A PIMENTO WALK BASIC SCHOOL,0,7,118,31,,0,156,62.40%,250
26 26B PIMENTO WALK BASIC SCHOOL,0,7,109,26,,2,144,55.38%,260
90 90A OCHO RIOS PRIMARY SCHOOL,1,8,73,76,,3,161,55.90%,288
90 90B OCHO RIOS PRIMARY SCHOOL,1,4,50,79,,0,134,53.39%,251
91 91 OCHO RIOIS PRIMARY SCHOOL,0,0,126,85,,1,212,53.00%,400
92 92 PIMENTO WALK BASIC SCHOOL,0,1,73,26,,0,100,62.11%,161
ELECTORAL DIVISION TOTALS 22 PSs,5,119,"1,432","1,286",0,17,"2,859",53.52%,"5,342"
